Country Name,Country Code,DengueCase,UNWASHD,POPUSESAFEDW,WASHDEV,POPUSESAFEW,BASSAN,POPUSESAFES,SAFETWASH,BASHAN
India,IND,27991970,36.4,278250000,,,71.26847596,45.90965899,26.55772,67.78892869
China,CHN,6096826.5,2.2,3654630000,103.6159,,92.37617808,69.65580705,64.77986,
Indonesia,IDN,2655179.8,15.8,82380000,185.2823,,86.462642,,,94.10706813
Brazil,BRA,2132774.5,6.6,5614000000,24.4403,85.76567,90.07847103,48.706315,33.02745,
Philippines,PHL,1832711.8,16.9,27810000,27.0634,47.46477,82.25604781,60.63807215,42.94676,81.71247639
Pakistan,PAK,1532033.6,38.8,,164.829,35.83887,68.39731114,,,80.06123049
Bangladesh,BGD,1481551.6,18.2,72000000,273.8517,58.51188,54.16469553,38.66941874,16.01109,58.40395427
Nigeria,NGA,1312078.2,71.7,,131.9683,93.5415,42.72256141,30.50948612,48.2916,33.19749375
Vietnam,VNM,1038967.7,6.9,159140000,428.0665,,89.24647713,,,86.06633197
Mexico,MEX,778692.7,3.5,14700000,1.3379,43.02628,92.42406261,57.34110284,60.09313,89.84379235
Thailand,THA,699667.75,11.8,,1.5105,,98.71311912,25.93233521,24.40229,84.96759329
Democratic Republic of the Congo,COD,459206.22,52.3,,71.5094,18.98773,15.38867157,12.69102623,12.26042,19.17279278
Malaysia,MYS,457683.88,14.4,,0.6273,93.81822,99.57900442,77.45314542,87.8246,
Colombia,COL,401360.88,3.4,129000000,23.88,73.00936,93.68063058,18.31487836,21.26281,68.02785898
Myanmar,MMR,392553.75,12.9,,97.1907,58.83109,73.63687714,60.71341702,,74.50768887
Ethiopia,ETH,339510.06,40.7,,155.088,12.57742,8.910277929,6.679274945,,8.172691862
Papua New Guinea,PNG,288036.84,24.9,,17.1313,,19.22383321,,,29.7660115
Sri Lanka,LKA,285258.84,4.8,70640000,132.0219,,93.65293491,,,
Nepal,NPL,234986.17,17.8,,152.5061,17.57566,76.61121355,48.64083656,37.20054,62.14360127
Tanzania,TZA,234077.12,30.2,,136.6323,,31.7607758,26.32853154,,48.44391523
Venezuela,VEN,224946.97,5.2,,1.0204,,95.75957043,23.06658961,,
Ghana,GHA,202192.34,25.2,,69.5116,41.41045,23.70247451,13.32480098,12.12577,41.542221
Kenya,KEN,195264.16,29,,196.2276,,32.69894486,,,26.75592337
Cambodia,KHM,194685.42,17.1,,197.7291,27.75824,68.76930002,,,73.87465491
